Faction,#,Rarity,Type,Name,Point Cost,Masts,Cargo,Base Move,Cannons,Link,Ability,Flavor Text,Treasure Values,SheetName,Set,Edits Log,"If you see something in this Master Spreadsheet that you know is incorrect, message me at any of the Pirates CSG community sites or a7xfanben@gmail.com.  Thanks!"
Pirate,PS-013,Uncommon,Ship,Raven's Neck  ,12.0,4.0,6.0,L,3S-2L-2L-3S,,"Once per turn, this ship may look at one face-down treasure on any island.",The tall crows nests of the Raven's Neck provide excellent vantage points for the spotting of treasure and targets.,,Spanish Main First Edition,,,
Pirate,PS-014,Uncommon,Ship,Windjammer  ,9.0,3.0,3.0,S+L,3S-2L-3S,,Forts cannot shoot at this ship.,"The Windjammer's nimble nature makes her a tough target, but at the cost of reduced firepower.",,Spanish Main First Edition,,,
Pirate,PS-015,Uncommon,Ship,El Ballista  ,9.0,4.0,2.0,S+L,4L-4L-4L-3S,,"On the turn this ship is pinned, eliminate one crew from the enemy ship.","Under Spain's control, the El Ballista was considered unbeatable, but Jack Hawkins won her without firing a shot. He wanted to name her the Sea Nymph in honor of his female accomplices, but his crew decided to keep the name and lose Hawkins instead.",,Spanish Main First Edition,,,
Pirate,PS-016,Uncommon,Ship,Recreant ,9.0,3.0,4.0,L,2S-2S-2S,,"Once per turn when this ship hits an enemy ship, also eliminate one crew from that ship.","Sailed by a crew of buccaneers who became sharpshooters while hunting illegal game, the Recreant prefers to first eliminate enemy officers in a fight to reduce her prey's effectiveness.",,Spanish Main First Edition,,,
Pirate,PS-017,Common,Ship,Treachery  ,5.0,2.0,3.0,S+S,3L-3L,,English ships get +1 to their cannon rolls against this ship.,"The Treachery earned her name and the eternal hatred of Her Majesty's Navy when she ""guided"" the fleet over a reef that splintered their hulls. Her crew later returned and looted the wrecked ships.",,Spanish Main First Edition,,,
Pirate,PS-018,Common,Ship,Longshanks  ,6.0,3.0,4.0,S+L,3S-3L-3S,,This ship may never load the last treasure from an island.,"Although they are excellent gunners, the crew of the Longshanks do not coordinate well on any other tasks, including the gathering of treasure.",,Spanish Main First Edition,,,
Pirate,PS-019,Common,Ship,El Chico  ,5.0,2.0,2.0,S+L,3S-3S,,Spanish ships get +1 to their cannon rolls against this ship.,"The Boy,"" formally the El Gregorio, was a member of the armada that guarded the annual treasure fleet from Tierra Firma to Spain. Her capitan, Oro Navarro, sold the fleet's location to Blackheart, and no Spaniard will rest until Navarro and his crew are dead.",,Spanish Main First Edition,,,
Pirate,PS-020,Common,Ship,Greyhound  ,9.0,3.0,3.0,L,3S-3L-3S,,"When this ship carries no cargo, she gets +S to her base move.","No crew trims sails like this ship's, and when her hull is empty she sprints like her namesake. Her accurate fore and aft guns were made by WeaponmMaster Charles Southwyn.",,Spanish Main First Edition,,,
Pirate,PS-021,Common,Ship,Carrion Crow  ,4.0,2.0,2.0,S+S,2S-2S,,Eliminate one of this ship's masts when she rolls a 1 on any cannon roll.,"The Carrion Crow has not had the best of luck recently, as Fernando Sanchez has twice attacked and damaged her. The result is that the ship has no money and is becoming run down.",,Spanish Main First Edition,,,
Pirate,PS-022,Common,Ship,El Dorado  ,11.0,3.0,2.0,L,4S-2L-4S,,You own any derelict this ship explores; both ships become docked at your home island.,"The Gilded One was known as the San Salvador before David ""Bones"" Wylie won her on a lucky die roll. His crew's talents complement his luck, with several qualified captains among them.",,Spanish Main First Edition,,,
Pirate,PS-023,Common,Ship,Royal Fortune  ,7.0,2.0,2.0,S+S,3S-3L,,Spanish crew may use their abilities on this ship.,"The Royal Fortune seeks to deliver what her name implies. Manned by both buccaneers and ex-Spanish sailors, she preys on the royal fleets of all nations.",,Spanish Main First Edition,,,
Pirate,PS-024,Common,Ship,Muerta de la Corona  ,9.0,3.0,3.0,S+L,3S-3L-3S,,This ship gets +1 to her cannon rolls against Spanish ships.,Death to the Crown was so named by Gaspar Zuan to appease his brother's bloodlust for the throne of Spain.,,Spanish Main First Edition,,,
Pirate,PS-025,Common,Ship,Bonny Kate  ,7.0,2.0,2.0,S+L,2S-3L,,English crew may use their abilities on this ship.,The Bonny Kate is a welcoming berth to any British lad who will take an oath against all kings.,,Spanish Main First Edition,,,
Pirate,PS-026,Common,Ship,Batavian Bat  ,9.0,3.0,2.0,S+S,4S-4L-4S,,L-range cannons cannot hit this ship.,"Narrow of beam and light of sail, the Batavian Bat is very nimble, but not fantastically fast. She prefers to engage from long range, making her a tough target.",,Spanish Main First Edition,,,
Pirate,PS-027,Common,Ship,Venture  ,4.0,2.0,2.0,S+S,3S-3L,,This ship sinks when her last mast is eliminated.,"Nothing ventured, nothing gained. The Venture carries more gunpowder than she should in order to double pack her guns for better range. But that makes her a potential fireworks display.",,Spanish Main First Edition,,,
Pirate,PS-028,Common,Ship,Silver Dagger  ,11.0,3.0,4.0,S,3S-3S-3S,,This ship gets +L to her base move if she has all of her masts.,"The Silver Dagger was taken from the Dutch near the island of St. Barts. She is swift when undamaged, but slothful when wounded. To prevent being slowed, she has excellent cannons stolen from the Spanish",,Spanish Main First Edition,,,
Pirate,PC-001,Rare,Crew,Calico Cat,3.0,,,,,,"Once per turn before you give this ship an action, roll a d6. On a 5 or 6, this ship may be given the same action twice.","Calico Cat (real name rumored to be Catherine) got her start only recently by stealing a Spanish sloop from Havana. She leads her crew with a dazzling smile that belies her deadly determination. Her anonymous past cannot hide her suffering, and she intends to make the crowns of Europe suffer as well.",,Spanish Main First Edition,,,
Pirate,PC-002,Rare,Crew,Captain Blackheart,5.0,,,,,,"This ship may move and shoot using the same move action. Once per turn, you may eliminate one of this ship's crew to give her an extra action.","Angus Skyme came to the Spanish Main in the brig of HMS Prudence. He escaped the gallows and gathered the roughest crew in the Caribbean. Blackheart shows no quarter to his victims or crew, and he has killed many of both for his amusement and profit. He still bears the scar from the duel he fought with Hawkins over Lady Arcadia de Sol.",,Spanish Main First Edition,,,
Pirate,PC-003,Common,Crew,El Fantasma,4.0,,,,,Ghost Crew,"This ship may dock at an enemy home island and load one treasure. If able, she must leave on your next turn.","Sailing into and out of the mists, El Fantasma uses stealth as his major weapon. None know for sure whether he and his crew are even human—they seem to appear and disappear at will and are almost impossible to hit with cannons.",,Spanish Main First Edition,,,
Pirate,PC-003,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
Pirate,PC-004,Common,Crew,Captain Jack Hawkins,4.0,,,,,Skyme the Monkey,"This ship may move and shoot using the same move action.  On the turn this ship is pinned, eliminate one crew from the enemy ship.","Hawkins was an expert marksman and poacher until he was caught and shipped to Port Royal as an indentured servant. Blackheart liberated Hawkins when he sacked Port Royal, and the pair was dynamic until a dispute over Lady Arcadia de Sol. Hawkins won the girl, but also a powerful enemy.",,Spanish Main First Edition,,,
Pirate,PC-004,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
Pirate,PC-005,Common,Crew,Genny Gallows,3.0,,,,,Genny's Red Rampage,One of this ship's treasures is worth +2 gold when she docks at your home island.,"Captain Gallows has hated England since the day she watched her father's neck stretched. She will attack any ship, but relishes hurting England the most. Her crew would follow her to the gates of hell, both because of her leadership and her connections on the Spanish Main.",,Spanish Main First Edition,,,
Pirate,PC-005,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
Pirate,PC-006,Common,Crew,Ghost Crew,6.0,,,,,El Fantasma,This ship's crew cannot be eliminated unless she sinks.,"Some say the Ghost Crew are damned men cursed to sail these waters until they send enough souls to hell to get theirs back. Others say that El Fantasma and his crew are human, just tricky enough to terrify their opponents before they fire the first shot.",,Spanish Main First Edition,,,
Pirate,PC-006,Common,Crew,Oarsman,1.0,,,,,,"If derelict, this ship gains a base move of S. This crew takes up no cargo space.",,,Spanish Main First Edition,,,
Pirate,PC-007,Common,Crew,"David ""Bones"" Wiley",3.0,,,,,Lucky the Parrot,"Once per turn, if this ship carries treasure and is within S of an enemy ship, you may randomly trade one treasure with that ship.","Wiley was raised and groomed for command by the dread pirate Rodriguez. When Rodriguez was killed in combat, Wiley was paralyzed by his new post. So he carved two dice out of Rodriguez's skull, allowing his mentor to guide him even in death.",,Spanish Main First Edition,,,
Pirate,PC-007,Common,Crew,Oarsman,1.0,,,,,,"If derelict, this ship gains a base move of S. This crew takes up no cargo space.",,,Spanish Main First Edition,,,
Pirate,PC-008,Common,Crew,Fidel Zuan,2.0,,,,,Gaspar Zuan,This ship gets +1 to her cannon rolls against Spanish ships.,"Fidel Zuan loves his brother, Gaspar. He reminded himself of that every day he rotted in a Spanish prison. After finally freeing him, his brother ""explained"" that Fidel had been falsely accused and wrongfully imprisoned. Fidel now fights the Spanish like the devil himself.",,Spanish Main First Edition,,,
Pirate,PC-008,Common,Crew,Musketeer,3.0,,,,,,This ship gains one rank 3 cannon with S range cannon that may not have its range or cannon roll increased. It can shoot from any mast (even an eliminated mast).,,,Spanish Main First Edition,,,
Pirate,PC-009,Common,Crew,Skyme the Monkey,2.0,,,,,Captain Jack Hawkins,"Once per turn, this ship may randomly take one treasure from any ship she touches.","Lady Arcadia de Sol gifted this monkey to Jack after he saved her from Blackheart. Jack renamed him Skyme in honor of his old partner, but wishes that he hadn't: The monkey seems to have picked up some of Blackheart's more evil mannerisms.",,Spanish Main First Edition,,,
Pirate,PC-009,Common,Crew,Musketeer,3.0,,,,,,This ship gains one rank 3 cannon with S range cannon that may not have its range or cannon roll increased. It can shoot from any mast (even an eliminated mast).,,,Spanish Main First Edition,,,
Pirate,PC-010,Common,Crew,Lucky the Parrot,1.0,,,,,"David ""Bones"" Wiley","Once per turn, this ship may look at one face-down cargo on any ship.","Bones often has Lucky fly to a ship to see what she holds. When Lucky returns, it uses its claws to ""roll"" dice into a stein, determining if the ship will be spared or pursued. Potential victims know that to shoot at Lucky would result in Wiley killing them and everyone they've ever met, so they leave their fate to the dice.",,Spanish Main First Edition,,,
Pirate,PC-010,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
Pirate,PC-011,Common,Crew,Genny's Red Rampage,2.0,,,,,Genny Gallows,This ship gets +1 to her boarding rolls.,"Genny Gallows' crew have been known to kill each other for the right to wear cloth torn from the curtains of the Red Curtain bordello, which signifies membership in the Red Rampage boarding party. Rumor is that the banshees who survive a tour are treated to a night at the Red Curtain.",,Spanish Main First Edition,,,
Pirate,PC-011,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
Pirate,PC-012,Common,Crew,Gaspar Zuan,2.0,,,,,Fidel Zuan,Place this crew face up during setup. Reduce the cost of all other crew placed on this ship by 1.,"Gaspar was given the El Picador by Spain to hunt English pirates, and his brother Fidel was kept hostage to ensure his return. But Gaspar betrayed them both by attacking the Spanish treasure fleet. Gaspar can talk anyone into joining him, even his brother. One day his lies will catch up with him, but that day is not today.",,Spanish Main First Edition,,,
Pirate,PC-012,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
English,ES-001,Rare,Ship,HMS Titan  ,17.0,5.0,5.0,L,2S-2L-2L-2L-2S,,"Once per turn, roll a d6. On a 5 or 6, this ship may be given an extra action.","HMS Titan, the largest English ship on the Spanish Main, is the only ship that has ever wounded the mysterious Revenant. Admiral Lord Battonbrig commands the Titan with iron discipline.",,Spanish Main First Edition,,,
English,ES-002,Rare,Ship,HMS Albion  ,5.0,1.0,2.0,L,3S,,"If derelict, this ship gains a base move of S.","HMS Albion is an excellent scouting sloop. She especially shines in slow waters, sailing circles around more bulky vessels.",,Spanish Main First Edition,,,
English,ES-003,Rare,Ship,HMS Lord Algernon  ,15.0,5.0,3.0,S,2S-2L-2L-2L-2S,,This ship ignores the first hit she takes each turn as long as she has all of her masts.,"HMS Lord Algernon is constructed of double-planked American colonial hardwood, making her slow but almost cannon proof. She has come to the Spanish Main to support attacks on Spanish interests.",,Spanish Main First Edition,,,
English,ES-004,Rare,Ship,HMS Europa  ,8.0,1.0,1.0,S+S,3S,,"Once per turn, roll a d6. On a 5 or 6, this ship may be given an extra action.",The crew of the sloop HMS Europa live in fear that Commander Temple will again come aboard on a scouting mission.,,Spanish Main First Edition,,,
English,ES-005,Uncommon,Ship,HMS Leicester  ,18.0,4.0,4.0,L,3S-3L-3L-3S,,This ship eliminates two masts with one hit.,HMS Leicester is currently the English fleet's most effective gunship. She features batteries of a new cannon type designed by Weapon-master Charles Southwyn.,,Spanish Main First Edition,,,
English,ES-006,Uncommon,Ship,HMS Oxley  ,15.0,3.0,3.0,L,4S-4L-4S,,This ship eliminates two masts with one hit.,"HMS Oxley features heavy cannons that can splinter an enemy mast in a single broadside. The downside is that the guns are too heavy for the crew to maneuver quickly, reducing accuracy.",,Spanish Main First Edition,,,
English,ES-007,Uncommon,Ship,HMS King Edward  ,13.0,4.0,6.0,L,4S-4L-4L-4S,,"If this ship has a Captain crew, she gets +1 to her cannon rolls.","HMS King Edward, the most modern English ship in the Caribbean, is often the flagship of larger naval actions. When a senior officer is on board, her crew excels—especially her gun crew.",,Spanish Main First Edition,,,
English,ES-008,Uncommon,Ship,HMS Belle of Exeter  ,16.0,3.0,3.0,L,3S-4L-3S,,"This ship's cannons may not be eliminated (masts still may be). If derelict, she cannot shoot.","Ironsides Exeter, as she is known to many in the Caribbean, has plate iron surrounding all her gun decks. This makes her cannons almost impossible to destroy, but her speed and cargo capacity suffer as a result.",,Spanish Main First Edition,,,
English,ES-009,Uncommon,Ship,HMS Dover  ,10.0,4.0,5.0,S+S,3S-3L-3L-3S,,,"HMS Dover is the standard of Her Majesty's Navy. She is large, well armed, has above-average cargo capacity, and is capable of reasonable speed.",,Spanish Main First Edition,,,
English,ES-010,Uncommon,Ship,HMS Bolingbroke  ,9.0,3.0,3.0,S+S,2S-2L-2S,,Other ships do not block this ship's line of fire.,"Captain McGrath is not the most flamboyant of commanders, but his gun crew is among the best on the Spanish Main thanks to his endless training.",,Spanish Main First Edition,,,
English,ES-011,Common,Ship,HMS Gallowglass  ,6.0,2.0,2.0,S+S,3L-3S,,"When this ship sinks another ship, you may repair one of this ship's masts.","HMS Gallowglass is manned by many ex-cons, including several ""Bones"" Wylie's crew. These men can strip valuables from sinking ships and barely get their feet wet.",,Spanish Main First Edition,,,
English,ES-012,Common,Ship,HMS Birkenhead  ,11.0,3.0,4.0,L,3S-3L-3S,,This ship gets +1 to her boarding rolls.,HMS Birkenhead was part of several of Sir Myngs' insertions into Spanish ports. It was outfitted with spikes and guillotine lines to aid in the repelling of boarding parties.,,Spanish Main First Edition,,,
English,ES-013,Common,Ship,HMS Meresman  ,6.0,2.0,2.0,S+S,3S-3S,,"You may double the range of this ship's cannons each turn, but you must roll a 6 to hit.",The guns of HMS Meresman have the longest range on the Spanish Main.,,Spanish Main First Edition,,,
English,ES-014,Common,Ship,HMS Wycliffe  ,9.0,3.0,3.0,L,2S-2L-2S,,Ramming cannot eliminate this ship's masts.,HMS Wycliffe was constructed in the shipyards of Boston of incredibly strong American hardwoods. It is said that she can withstand being rammed by any ship on the Spanish Main.,,Spanish Main First Edition,,,
English,ES-015,Common,Ship,HMS Plantagenet  ,8.0,2.0,3.0,S+L,3S-3S,,This ship gets +1 to her cannon rolls against Pirate ships.,"HMS Plantagenet is a small, mercurial ship able to sail in shallow waters and up streams. This pirate hunter is manned exclusively by men who have lost everything to pirates.",,Spanish Main First Edition,,,
English,ES-016,Common,Ship,HMS Lord Walpole  ,10.0,3.0,4.0,L,2S-2L-2S,,"When this ship hits another ship, you choose which mast is eliminated.","HMS Lord Walpole's gun crew was personally trained by Thomas Gunn, so suffice it to say they are good shots.",,Spanish Main First Edition,,,
English,EC-001,Rare,Crew,Admiral Morgan,5.0,,,,,,"Once per turn, roll a d6. On a 5 or 6, this ship may be given an extra action.","Henry Morgan was once a feared buccaneer. Sailing under letters of marque from Sir Myngs and Governor Modyford, he became wealthy by sacking Spanish Caribbean towns. Governor Lynch sent him to England to stand trial for his crimes, but instead he was knighted and made admiral of all the English fleets on the Spanish Main.",,Spanish Main First Edition,,,
English,EC-002,Rare,Crew,Sir Christopher Myngs,3.0,,,,,Myng's Marauders,"Once per turn before you give this ship an action, roll a d6. On a 5 or 6, this ship may be given the same action twice.","Myngs was sent to the Spanish Main to remove the Spanish. As usual, however, he wasn't given enough ships to do the job, so he pioneered the English-buccaneer fleet. He personally led the largest of these fleets against the Spanish and Dutch.",,Spanish Main First Edition,,,
English,EC-003,Common,Crew,Carbon Charlie,3.0,,,,,Powder Pete,"When this ship is docked at your home island, you may eliminate one treasure. It becomes a rank 3 cannon that shoots short range and can only be eliminated when the ship sinks.","Always covered in soot from his forge, ""Carbon Charlie"" makes some of the finest firearms in the world. His crowning achievement—the secret of which he will likely take to the grave—is the world's largest cannon.",,Spanish Main First Edition,,,
English,EC-003,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
English,EC-004,Common,Crew,Thomas Gunn the Elder,3.0,,,,,Thomas Gunn the Younger,This ship gets +1 to her cannon rolls against Spanish ships.,"Gunn's family was sailing to Jamaica when the Spanish warship El Tirón attacked. His wife was killed, and Capitán de Alva took Gunn's 18-year-old daughter, Catherine, hostage. Gunn sold his soul to the navy for ransom money, but Spain denies any knowledge of her.",,Spanish Main First Edition,,,
English,EC-004,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
English,EC-005,Common,Crew,Governor Lynch,3.0,,,,,Lynch's Noose,This ship gets +1 to her cannon rolls against Pirate ships.,Lynch hates pirates with a passion that defies reason. He despises Morgan for being a pirate and Myngs and Modyford for sullying the crown of England by associating with them. He often leads his fleets in pirate-hunting expeditions.,,Spanish Main First Edition,,,
English,EC-005,Common,Crew,Oarsman,1.0,,,,,,"If derelict, this ship gains a base move of S. This crew takes up no cargo space.",,,Spanish Main First Edition,,,
English,EC-006,Common,Crew,Countess Diana Doone,2.0,,,,,Brother Virgil,Place this crew face up during setup. Reduce the cost of all other crew placed on this ship by 1.,"Countess Doone is the sweet-talking belle of English Caribbean society. Her dark secret is that she was actually shipped to the Spanish Main as an Irish indentured servant. When her ship was attacked by pirates, she took advantage of the chaos to take the possessions and personality of a rich young lady who no longer ""needed"" them. She has spellbound the Jamaican royal court ever since.",,Spanish Main First Edition,,,
English,EC-006,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
English,EC-007,Common,Crew,Myngs Marauders,3.0,,,,,Sir Christopher Myngs,Other ships do not block this ship's line of fire.,Myngs' most-trusted men have been with him since he was captain of the 52-gun Marston Moor. They are well trained and have deadly aim.,,Spanish Main First Edition,,,
English,EC-007,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
English,EC-008,Common,Crew,Thomas Gunn the Younger,5.0,,,,,Thomas Gunn the Elder,"This ship may move and shoot using the same move action, plus. Once per turn when this ship hits an enemy ship, also eliminate one crew from that ship.","Gunn became a marine in His Majesty's Navy to seek revenge on the Spanish for his mother's death and sister's abduction, and he becomes more convinced every day that pirates deserve to die. His marksmanship is famous on the Main, as is his pension for keeping to himself.",,Spanish Main First Edition,,,
English,EC-008,Common,Crew,Musketeer,3.0,,,,,,This ship gains one rank 3 cannon with S range cannon that may not have its range or cannon roll increased. It can shoot from any mast (even an eliminated mast).,,,Spanish Main First Edition,,,
English,EC-009,Common,Crew,Brother Virgil,3.0,,,,,Countess Diana Doone,Crew of any nationality may use their abilities on this ship.,"Brother Virgil has been a spiritual guide to island natives for many years. No one knows exactly which holy order he belongs to, but it apparently does not require a vow of poverty: The affable monk has grown rich from ""gifts"" received for placing crew on ships.",,Spanish Main First Edition,,,
English,EC-009,Common,Crew,Musketeer,3.0,,,,,,This ship gains one rank 3 cannon with S range cannon that may not have its range or cannon roll increased. It can shoot from any mast (even an eliminated mast).,,,Spanish Main First Edition,,,
English,EC-010,Common,Crew,Lynch's Noose,2.0,,,,,Governor Lynch,This ship gets +1 to her boarding rolls.,The Noose is a special unit of the King's Marines that specializes in the bloody business of boarding actions. These men are the most loyal to Governor Lynch and his quest to rid the Caribbean of pirates.,,Spanish Main First Edition,,,
English,EC-010,Common,Crew,Explorer,1.0,,,,,,This ship may dock and explore a wild island using the same move action.,,,Spanish Main First Edition,,,
English,EC-011,Common,Crew,Powder Pete,2.0,,,,,Carbon Charlie,One of this ship's treasures is worth +1 gold when she docks at your home island.,"Pete is Carbon Charlie's right-hand man—mostly because he caused Charlie to lose his right arm! Powder Pete knows how to turn cannons into gold and, when they have it, gold into more gold.",,Spanish Main First Edition,,,
English,EC-011,Common,Crew,Oarsman,1.0,,,,,,"If derelict, this ship gains a base move of S. This crew takes up no cargo space.",,,Spanish Main First Edition,,,
English,EC-012,Common,Crew,Commander Temple,6.0,,,,,,You own any derelict this ship explores; both ships become docked at your home island.,Temple is the second son of an English nobleman in Ireland. Many say that his success has been greased with the blood of men he throws into hopeless situations and deadly boarding actions. His only weakness is his infatuation with the lovely Countess Doone.,,Spanish Main First Edition,,,
English,EC-012,Common,Crew,Shipwright,2.0,,,,,,This ship may repair at sea or at any island.,,,Spanish Main First Edition,,,
Spanish,SS-001,Rare,Ship,El Acorazado  ,21.0,5.0,5.0,S,2S-3L-3L-3L-2S,,Two hits from the same shoot action are required to eliminate one of this ship's masts.,"The captain of ""The Battleship,"" pride of the Spanish fleet and perhaps the strongest ship ever built, claims that not even the devil himself could sink her. The mysterious pirate El Fantasma, however, may soon test that boast.",,Spanish Main First Edition,,,
Spanish,SS-002,Rare,Ship,Santa Teresa,9.0,1.0,1.0,S+L,2S,,L-range cannons cannot hit this ship.,"The crew of the Santa Teresa believe that their sloop is blessed by Teresa herself, for their luck has never run out.",,Spanish Main First Edition,,,
Spanish,SS-003,Rare,Ship,El Garante  ,21.0,5.0,5.0,L,3S-3L-3L-3L-3S,,This ship gets +1 to her cannon rolls for every friendly ship within S of her.,"This is the capital ship of the Armada de Barlavento—the special fleet assigned to rid the Spanish Main of pirates. ""The Guarantor"" is often under the command of Almirante del Nero, who oversees his crew's competition with the El Acorazado.",,Spanish Main First Edition,,,
Spanish,SS-004,Rare,Ship,La Repulsa  ,14.0,1.0,2.0,S+L,3S,,This ship gets +1 to her cannon rolls for every friendly ship within S of her.,The Repulse is a small but effective scout sloop. The confidence and performance of her small crew dramatically improve when she is part of a larger force.,,Spanish Main First Edition,,,
Spanish,SS-005,Uncommon,Ship,La Joya del Sol  ,12.0,4.0,8.0,S+S,4S-4L-4L-4S,,This ship gets +1 to her boarding rolls.,"An imposing armed merchant ship, ""The Jewel of the Sun"" can move quickly with a large cargo. Built by a consortium of merchants, she was outfitted with decent guns, but her crew is trained in little other than repelling boarders.",,Spanish Main First Edition,,,
Spanish,SS-006,Uncommon,Ship,El Tirador  ,8.0,3.0,3.0,L,3S-3L-3S,,"Once per turn when this ship hits an enemy ship, also eliminate one crew from that ship.","Comandante Antonio de Silva personally trained the marines on ""The Gunner"" to pick off enemy crew from long range. The ship has thus become famous for leaving her opponents ""headless.""",,Spanish Main First Edition,,,
Spanish,SS-007,Uncommon,Ship,L'Aguila,12.0,4.0,5.0,L,3S-2L-2L-3S,,"When touching a Pirate ship, this ship may load as much of that ship's treasure as she can carry.","Under Capitán Alarico Castro, ""The Eagle"" has earned a fearsome reputation. Castro's crew has perfected the art of ransacking and destroying their pirate enemies. It is rumored that he keeps a portion of the spoils hidden from Spain.",,Spanish Main First Edition,,,
